Date,Llegada_de_turistas_total,Llegada_de_turistas_nacional,Llegada_de_turistas_extranjero,Turistas_noche_total_mensual,Turistas_noche_nacional_mensual,Turistas_noche_extranjeras_mensual,Estadia_total_mensual,Estadia_nacionales_mensual,Estadia_extranjeros_mensual,Densidad_total,Densidad_nacional,Densidad_extranjera
01/01/2015,"30,687","29,859",828,"50,998","46,927","4,071",1.7,1.6,4.9,2.1,2.2,1.8
01/02/2015,"28,506","27,829",677,"44,232","40,358","3,874",1.6,1.5,5.7,2.2,2.3,1.8
01/03/2015,"32,364","31,959",405,"46,793","44,607","2,186",1.4,1.4,5.4,2.2,2.3,1.7
01/04/2015,"37,009","36,770",239,"59,228","58,056","1,172",1.6,1.6,4.9,2.4,2.4,1.9
01/05/2015,"27,973","27,789",184,"40,618","39,987",631,1.5,1.4,3.4,2.3,2.3,1.8
01/06/2015,"17,027","16,830",197,"25,330","24,245","1,085",1.5,1.4,5.5,2.2,2.2,1.6
01/07/2015,"35,616","35,119",497,"55,674","54,122","1,552",1.6,1.5,3.1,2.3,2.3,1.9
01/08/2015,"30,966","30,591",375,"55,058","53,120","1,938",1.8,1.7,5.2,2.4,2.4,1.8
01/09/2015,"14,736","14,330",406,"24,159","22,554","1,605",1.6,1.6,4,2.1,2.1,1.8
01/10/2015,"21,706","21,506",200,"29,854","29,282",572,1.4,1.4,2.9,2.2,2.2,1.6
01/11/2015,"30,672","30,439",233,"43,379","42,777",602,1.4,1.4,2.6,2.2,2.3,1.5
01/12/2015,"40,801","40,476",325,"63,135","61,068","2,067",1.5,1.5,6.4,2.4,2.4,1.6
01/01/2016,"39,642","38,785",857,"60,710","56,851","3,859",1.5,1.5,4.5,2.3,2.3,1.7
01/02/2016,"27,072","26,326",746,"42,490","38,789","3,701",1.6,1.5,5,2.1,2.1,1.5
01/03/2016,"43,264","42,759",505,"68,837","66,298","2,539",1.6,1.6,5,2.4,2.4,1.7
01/04/2016,"27,775","27,473",302,"37,756","36,880",876,1.4,1.3,2.9,2.4,2.4,1.7
01/05/2016,"26,360","26,013",347,"37,325","36,222","1,103",1.4,1.4,3.2,2.3,2.3,1.6
01/06/2016,"15,599","15,235",364,"24,312","22,964","1,348",1.6,1.5,3.7,2.2,2.3,1.4
01/07/2016,"29,219","29,027",192,"44,878","44,053",825,1.5,1.5,4.3,2.4,2.4,1.5
01/08/2016,"28,035","27,771",264,"39,161","37,584","1,577",1.4,1.4,6,2.3,2.4,1.8
01/09/2016,"19,353","19,123",230,"26,507","25,458","1,049",1.4,1.3,4.6,2.3,2.3,2
01/10/2016,"23,203","22,901",302,"30,956","30,003",953,1.3,1.3,3.2,2.3,2.3,1.8
01/11/2016,"36,107","35,676",431,"47,735","46,545","1,190",1.3,1.3,2.8,2.3,2.3,1.9
01/12/2016,"51,672","51,240",432,"72,698","70,736","1,962",1.4,1.4,4.5,2.6,2.6,1.6
01/01/2017,"41,251","39,358","1,893","58,323","53,443","4,880",1.4,1.4,2.6,2.4,2.4,1.7
01/02/2017,"35,036","32,164","2,872","47,161","41,965","5,196",1.3,1.3,1.8,2.3,2.3,1.8
01/03/2017,"35,999","32,182","3,817","49,832","43,274","6,558",1.4,1.3,1.7,2.3,2.3,1.8
01/04/2017,"42,672","41,386","1,286","73,655","71,056","2,599",1.7,1.7,2,2.6,2.6,2.2
01/05/2017,"27,532","26,395","1,137","46,644","44,561","2,083",1.7,1.7,1.8,2.3,2.4,1.8
01/06/2017,"16,491","15,245","1,246","31,210","27,855","3,355",1.9,1.8,2.7,2.2,2.2,1.9
01/07/2017,"35,086","33,718","1,368","58,684","54,992","3,692",1.7,1.6,2.7,2.4,2.5,2
