,Hoja,,Título,,
,Manual de Uso,,Manual de uso para el tablero de control,,
,Tablero,,Tablero de control,,
,Vista01,,Cuartos disponibles y Cuartos disponibles Promedio según años y meses seleccionado(s),,
,Vista02,,"Cuartos disponibles, Cuartos ocupados y Porcentaje de ocupación por nacionales y extranjeros según años y meses seleccionado(s).",,
,Vista03,,"Cuartos ocupados, Turistas noche y Densidad por nacionales y extranjeros según años y meses seleccionado(s).",,
,Vista04,,"Llegada de turistas, Turistas noche y estadía en nacionales y extranjeros según años y meses seleccionado(s).",,
,Vista05,,Cuartos disponibles mensual,,
,Vista06a,,Cuartos ocupados total,,
,Vista06b,,Cuartos ocupados nacionales mensual,,
,Vista06c,,Cuartos ocupados extranjeros mensual,,
,Vista06d,,Cuartos ocupados sin clasificar mensual,,
,Vista07a,,Llegada de turistas total mensual,,
,Vista07b,,Llegada de turistas nacionales mensual,,
,Vista07c,,Llegada de turistas extranjeros mensual,,
,Vista08a,,Turistas noche total mensual,,
,Vista08b,,Turistas noche nacionales mensual,,
,Vista08c,,Turistas noche extranjeros mensual,,
,Vista09a,,Porcentaje de ocupación total mensual,,
,Vista09b,,Porcentaje de ocupación nacionales mensual,,
,Vista09c,,Porcentaje de ocupación extranjeros mensual,,
,Vista09d,,Porcentaje de ocupación sin clafisicar mensual,,
,Vista10a,,Estadía total mensual,,
,Vista10b,,Estadía nacionales mensual,,
,Vista10c,,Estadía extranjeros mensual,,
,Vista11a,,Densidad total mensual,,
,Vista11b,,Densidad nacionales mensual,,
,Vista11c,,Densidad extranjeros mensual,,
,Referencias,,Notas aclaratorias para los centros turísticos,,
