Date,Cuartos_disp,Cuartos_ocupados_total,Cuartos_ocupados_nacionales,Cuartos_ocupados_extranjeros,Porcentaje_de_ocupacion_total,Porcentaje_de_ocupacion_nacionales,Porcentaje_de_ocupacion_extranjera,Porcentaje_turistas_nacionales,Porcentaje_turistas_extranjeros,
01/01/15,65212,23842,21625,2217,0.3656,0.3316,0.034,0.907,0.093,
01/02/15,59360,19915,17789,2126,0.3355,0.2997,0.0358,0.8932,0.1068,
01/03/15,65582,21027,19758,1269,0.3206,0.3013,0.0193,0.9396,0.0604,
01/04/15,66258,24606,23987,619,0.3714,0.362,0.0093,0.9748,0.0252,
01/05/15,68665,17766,17422,344,0.2587,0.2537,0.005,0.9806,0.0194,
01/06/15,66450,11621,10937,684,0.1749,0.1646,0.0103,0.9411,0.0589,
01/07/15,68045,24291,23470,821,0.357,0.3449,0.0121,0.9662,0.0338,
01/08/15,68662,23249,22197,1052,0.3386,0.3233,0.0153,0.9548,0.0452,
01/09/15,66450,11538,10667,871,0.1736,0.1605,0.0131,0.9245,0.0755,
01/10/15,68665,13800,13436,364,0.201,0.1957,0.0053,0.9736,0.0264,
01/11/15,66450,19320,18921,399,0.2907,0.2847,0.006,0.9793,0.0207,
01/12/15,67665,26596,25318,1278,0.3931,0.3742,0.0189,0.9519,0.0481,
01/01/16,69161,26826,24592,2234,0.3879,0.3556,0.0323,0.9167,0.0833,
01/02/16,64235,20522,18061,2461,0.3195,0.2812,0.0383,0.8801,0.1199,
01/03/16,68664,28788,27300,1488,0.4193,0.3976,0.0217,0.9483,0.0517,
01/04/16,66450,15991,15475,516,0.2406,0.2329,0.0078,0.9677,0.0323,
01/05/16,68665,16278,15597,681,0.2371,0.2271,0.0099,0.9582,0.0418,
01/06/16,66450,10931,9988,943,0.1645,0.1503,0.0142,0.9137,0.0863,
01/07/16,68665,18839,18295,544,0.2744,0.2664,0.0079,0.9711,0.0289,
