Date,Llegada_de_turistas_total,Llegada_de_turistas_nacional,Llegada_de_turistas_extranjero,Turistas_noche_total_mensual,Turistas_noche_nacional_mensual,Turistas_noche_extranjeras_mensual,Estadia_total_mensual,Estadia_nacionales_mensual,Estadia_extranjeros_mensual,Densidad_total,Densidad_nacional,Densidad_extranjera
01/01/15,30687,29859,828,50998,46927,4071,1.7,1.6,4.9,2.1,2.2,1.8
01/02/15,28506,27829,677,44232,40358,3874,1.6,1.5,5.7,2.2,2.3,1.8
01/03/15,32364,31959,405,46793,44607,2186,1.4,1.4,5.4,2.2,2.3,1.7
01/04/15,37009,36770,239,59228,58056,1172,1.6,1.6,4.9,2.4,2.4,1.9
01/05/15,27973,27789,184,40618,39987,631,1.5,1.4,3.4,2.3,2.3,1.8
01/06/15,17027,16830,197,25330,24245,1085,1.5,1.4,5.5,2.2,2.2,1.6
01/07/15,35616,35119,497,55674,54122,1552,1.6,1.5,3.1,2.3,2.3,1.9
01/08/15,30966,30591,375,55058,53120,1938,1.8,1.7,5.2,2.4,2.4,1.8
01/09/15,14736,14330,406,24159,22554,1605,1.6,1.6,4,2.1,2.1,1.8
01/10/15,21706,21506,200,29854,29282,572,1.4,1.4,2.9,2.2,2.2,1.6
01/11/15,30672,30439,233,43379,42777,602,1.4,1.4,2.6,2.2,2.3,1.5
01/12/15,40801,40476,325,63135,61068,2067,1.5,1.5,6.4,2.4,2.4,1.6
01/01/16,39642,38785,857,60710,56851,3859,1.5,1.5,4.5,2.3,2.3,1.7
01/02/16,27072,26326,746,42490,38789,3701,1.6,1.5,5,2.1,2.1,1.5
01/03/16,43264,42759,505,68837,66298,2539,1.6,1.6,5,2.4,2.4,1.7
01/04/16,27775,27473,302,37756,36880,876,1.4,1.3,2.9,2.4,2.4,1.7
01/05/16,26360,26013,347,37325,36222,1103,1.4,1.4,3.2,2.3,2.3,1.6
01/06/16,15599,15235,364,24312,22964,1348,1.6,1.5,3.7,2.2,2.3,1.4
01/07/16,29219,29027,192,44878,44053,825,1.5,1.5,4.3,2.4,2.4,1.5
01/08/16,28035,27771,264,39161,37584,1577,1.4,1.4,6,2.3,2.4,1.8
01/09/16,19353,19123,230,26507,25458,1049,1.4,1.3,4.6,2.3,2.3,2
01/10/16,23203,22901,302,30956,30003,953,1.3,1.3,3.2,2.3,2.3,1.8
01/11/16,36107,35676,431,47735,46545,1190,1.3,1.3,2.8,2.3,2.3,1.9
01/12/16,51672,51240,432,72698,70736,1962,1.4,1.4,4.5,2.6,2.6,1.6
01/01/17,41251,39358,1893,58323,53443,4880,1.4,1.4,2.6,2.4,2.4,1.7
01/02/17,35036,32164,2872,47161,41965,5196,1.3,1.3,1.8,2.3,2.3,1.8
01/03/17,35999,32182,3817,49832,43274,6558,1.4,1.3,1.7,2.3,2.3,1.8
01/04/17,42672,41386,1286,73655,71056,2599,1.7,1.7,2,2.6,2.6,2.2
01/05/17,27532,26395,1137,46644,44561,2083,1.7,1.7,1.8,2.3,2.4,1.8
